date,ticker,quarter,year,file
18-Jan,SI,Q4,2021,SI Q4 2021.mp3
21-Jan,SLB,Q4,2021,SLB Q4 2021.mp3
27-Jan,SLG,Q4,2021,SLG Q4 2021.mp3
27-Jan,SLM,Q4,2021,SLM Q4 2021.mp3
20-Jan,SNV,Q4,2021,SNV Q4 2021.mp3
1/11/2022,SNX,Q4,2021,SNX Q4 2021.mp3
27-Jan,SPFI,Q4,2021,SPFI Q4 2021.mp3
1/11/2022,STKS,Q4,2021,STKS Q4 2021.mp3
13-Jan,STMH,Q4,2021,STMH Q4 2021.mp3
19-Jan,STT,Q4,2021,STT Q4 2021.mp3
27-Jan,STXB,Q4,2021,STXB Q4 2021.mp3
28-Jan,SYF,Q4,2021,SYF Q4 2021.mp3
26-Jan,T,Q4,2021,T Q4 2021.mp3
28-Jan,TBBK,Q4,2021,TBBK Q4 2021.mp3
27-Jan,TDY,Q4,2021,TDY Q4 2021.mp3
26-Jan,TER,Q4,2021,TER Q4 2021.mp3
18-Jan,TFC,Q4,2021,TFC Q4 2021.mp3
1/10/2022,TLYS,Q4,2021,TLYS Q4 2021.mp3
26-Jan,TRMK,Q4,2021,TRMK Q4 2021.mp3
26-Jan,TSLA,Q4,2021,TSLA Q4 2021.mp3
31-Jan,TT,Q4,2021,TT Q4 2021.mp3
1/10/2022,UGRO,Q4,2021,UGRO Q4 2021.mp3
26-Jan,UMBF,Q4,2021,UMBF Q4 2021.mp3
20-Jan,UMPQ,Q4,2021,UMPQ Q4 2021.mp3
27-Jan,URI,Q4,2021,URI Q4 2021.mp3
26-Jan,USAP,Q4,2021,USAP Q4 2021.mp3
19-Jan,USB,Q4,2021,USB Q4 2021.mp3
28-Jan,USCB,Q4,2021,USCB Q4 2021.mp3
27-Jan,UVSP,Q4,2021,UVSP Q4 2021.mp3
26-Jan,VBTX,Q4,2021,VBTX Q4 2021.mp3
27-Jan,VLO,Q4,2021,VLO Q4 2021.mp3
27-Jan,VLY,Q4,2021,VLY Q4 2021.mp3
26-Jan,VRTX,Q4,2021,VRTX Q4 2021.mp3
28-Jan,WAL,Q4,2021,WAL Q4 2021.mp3
27-Jan,WASH,Q4,2021,WASH Q4 2021.mp3
20-Jan,WBS,Q4,2021,WBS Q4 2021.mp3
28-Jan,WETF,Q4,2021,WETF Q4 2021.mp3
27-Jan,WHR,Q4,2021,WHR Q4 2021.mp3
27-Jan,WRB,Q4,2021,WRB Q4 2021.mp3
26-Jan,WSBC,Q4,2021,WSBC Q4 2021.mp3
27-Jan,XEL,Q4,2021,XEL Q4 2021.mp3
1/11/2022,XSPA,Q4,2021,XSPA Q4 2021.mp3
